label,run_id,wall_s,status
Book1_Prop03,20260721-221925-17295e87,20.70,ok
Book1_Prop03,20260721-231303-567ea705,7.26,ok
Book1_Prop03,20260721-234406-c5a37b64,6.88,ok
Book1_Prop06,20260721-231618-a7a67122,25.44,ok
Book1_Prop06,20260722-003012-c0626395,8.44,ok
Book1_Prop06,20260722-011540-c975f507,8.61,ok
Book1_Prop12,20260721-231618-8465ed69,75.92,ok
Book1_Prop12,20260722-001344-21eea484,12.15,ok
Book1_Prop12,20260722-005123-b71b91c5,14.23,ok
Book1_Prop18,20260721-231618-32b7f9f6,116.12,ok
Book1_Prop18,20260722-002512-978a1f0d,10.70,ok
Book1_Prop18,20260722-005125-3d9bb45a,7.93,ok
Book1_Prop20,20260720-133309-0d986ee2,31.58,ok
Book1_Prop20,20260720-141502-9d5733b4,14.37,ok
Book1_Prop20,20260720-150928-aabdd8cb,25.83,ok
Book1_Prop27,20260721-231618-37a03924,8.15,ok
Book1_Prop27,20260722-000926-8b4456b3,8.40,ok
Book1_Prop27,20260722-005050-abe401f0,11.69,ok
Book1_Prop30,20260720-175026-82c96962,34.32,ok
Book1_Prop30,20260720-183241-470b9f31,14.72,ok
Book1_Prop30,20260720-195658-7f71e75a,12.64,ok
Book1_Prop36,20260720-175026-76138fa1,242.13,ok
Book1_Prop36,20260720-191808-2f65ff60,14.96,ok
Book1_Prop36,20260722-111741-2c7a7384,10.74,ok
Book1_Prop45,20260720-175026-5753a172,167.04,ok
Book1_Prop45,20260722-111634-3f005a60,13.74,ok
Book1_Prop45,20260722-141619-3d4c8788,14.87,ok
Book2_Prop03,20260722-114628-abe95ce0,34.51,ok
Book2_Prop03,20260722-140109-681d4b84,9.83,ok
Book2_Prop03,20260722-151424-0f5e3574,12.76,ok
Book2_Prop12,20260722-114628-9a040e08,70.47,ok
Book2_Prop12,20260722-124334-c0449664,36.66,ok
Book2_Prop12,20260722-134822-01fa8c96,10.15,ok
Book3_Prop06,20260722-114914-87a30db6,12.30,ok
Book3_Prop06,20260722-124136-b18981f0,7.12,ok
Book3_Prop06,20260722-133821-5636700d,6.69,ok
Book3_Prop11,20260722-114914-7c3bf53a,12.25,ok
Book3_Prop11,20260722-135250-1a554c88,12.02,ok
Book3_Prop11,20260722-150227-77754a03,9.16,ok
Book3_Prop25,20260722-114914-3fbefacb,34.32,ok
Book3_Prop25,20260722-163637-8fc9b0ac,23.10,ok
Book3_Prop25,20260722-190620-e45f8b26,21.10,ok
Book3_Prop36,20260722-114914-f7c81e6c,55.47,ok
Book3_Prop36,20260722-152107-8c876bd1,48.85,ok
Book3_Prop36,20260722-191223-95f95271,53.14,ok
