label,run_id,wall_s,status
Book1_Prop03,20260721-221925-17295e87,8.39,ok
Book1_Prop03,20260721-231303-567ea705,8.76,ok
Book1_Prop03,20260721-234406-c5a37b64,6.68,ok
Book1_Prop06,20260721-231618-a7a67122,8.90,ok
Book1_Prop06,20260722-003012-c0626395,12.27,ok
Book1_Prop06,20260722-011540-c975f507,8.24,ok
Book1_Prop12,20260721-231618-8465ed69,12.73,ok
Book1_Prop12,20260722-001344-21eea484,11.81,ok
Book1_Prop12,20260722-005123-b71b91c5,14.20,ok
Book1_Prop18,20260721-231618-32b7f9f6,10.29,ok
Book1_Prop18,20260722-002512-978a1f0d,8.79,ok
Book1_Prop18,20260722-005125-3d9bb45a,7.94,ok
Book1_Prop20,20260720-133309-0d986ee2,16.32,ok
Book1_Prop20,20260720-141502-9d5733b4,14.00,ok
Book1_Prop20,20260720-150928-aabdd8cb,31.39,ok
Book1_Prop27,20260721-231618-37a03924,9.17,ok
Book1_Prop27,20260722-000926-8b4456b3,8.82,ok
Book1_Prop27,20260722-005050-abe401f0,8.10,ok
Book1_Prop30,20260720-175026-82c96962,10.26,ok
Book1_Prop30,20260720-183241-470b9f31,19.50,ok
Book1_Prop30,20260720-195658-7f71e75a,13.15,ok
Book1_Prop36,20260720-175026-76138fa1,14.71,ok
Book1_Prop36,20260720-191808-2f65ff60,12.91,ok
Book1_Prop36,20260722-111741-2c7a7384,15.21,ok
Book1_Prop45,20260720-175026-5753a172,13.76,ok
Book1_Prop45,20260722-111634-3f005a60,13.16,ok
Book1_Prop45,20260722-141619-3d4c8788,20.38,ok
Book2_Prop03,20260722-114628-abe95ce0,16.96,ok
Book2_Prop03,20260722-140109-681d4b84,10.06,ok
Book2_Prop03,20260722-151424-0f5e3574,11.56,ok
Book2_Prop12,20260722-114628-9a040e08,13.30,ok
Book2_Prop12,20260722-124334-c0449664,35.62,ok
Book2_Prop12,20260722-134822-01fa8c96,10.88,ok
Book3_Prop06,20260722-114914-87a30db6,6.45,ok
Book3_Prop06,20260722-124136-b18981f0,12.84,ok
Book3_Prop06,20260722-133821-5636700d,8.57,ok
Book3_Prop11,20260722-114914-7c3bf53a,11.41,ok
Book3_Prop11,20260722-135250-1a554c88,16.62,ok
Book3_Prop11,20260722-150227-77754a03,8.93,ok
Book3_Prop25,20260722-114914-3fbefacb,25.46,ok
Book3_Prop25,20260722-163637-8fc9b0ac,19.31,ok
Book3_Prop25,20260722-190620-e45f8b26,29.09,ok
Book3_Prop36,20260722-114914-f7c81e6c,26.40,ok
Book3_Prop36,20260722-152107-8c876bd1,35.25,ok
Book3_Prop36,20260722-191223-95f95271,32.20,ok
