label,run_id,wall_s,status
Book1_Prop03,20260721-221925-17295e87,20.64,ok
Book1_Prop03,20260721-231303-567ea705,6.86,ok
Book1_Prop03,20260721-234406-c5a37b64,11.10,ok
Book1_Prop06,20260721-231618-a7a67122,15.18,ok
Book1_Prop06,20260722-003012-c0626395,8.73,ok
Book1_Prop06,20260722-011540-c975f507,10.24,ok
Book1_Prop12,20260721-231618-8465ed69,76.44,ok
Book1_Prop12,20260722-001344-21eea484,12.14,ok
Book1_Prop12,20260722-005123-b71b91c5,14.11,ok
Book1_Prop18,20260721-231618-32b7f9f6,121.13,ok
Book1_Prop18,20260722-002512-978a1f0d,9.66,ok
Book1_Prop18,20260722-005125-3d9bb45a,8.66,ok
Book1_Prop20,20260720-133309-0d986ee2,34.59,ok
Book1_Prop20,20260720-141502-9d5733b4,13.81,ok
Book1_Prop20,20260720-150928-aabdd8cb,26.97,ok
Book1_Prop27,20260721-231618-37a03924,8.48,ok
Book1_Prop27,20260722-000926-8b4456b3,11.74,ok
Book1_Prop27,20260722-005050-abe401f0,8.49,ok
Book1_Prop30,20260720-175026-82c96962,37.22,ok
Book1_Prop30,20260720-183241-470b9f31,15.95,ok
Book1_Prop30,20260720-195658-7f71e75a,13.84,ok
Book1_Prop36,20260720-175026-76138fa1,249.65,ok
Book1_Prop36,20260720-191808-2f65ff60,13.11,ok
Book1_Prop36,20260722-111741-2c7a7384,10.39,ok
Book1_Prop45,20260720-175026-5753a172,169.25,ok
Book1_Prop45,20260722-111634-3f005a60,14.60,ok
Book1_Prop45,20260722-141619-3d4c8788,18.53,ok
Book2_Prop03,20260722-114628-abe95ce0,22.45,ok
Book2_Prop03,20260722-140109-681d4b84,10.03,ok
Book2_Prop03,20260722-151424-0f5e3574,22.30,ok
Book2_Prop12,20260722-114628-9a040e08,62.61,ok
Book2_Prop12,20260722-124334-c0449664,37.83,ok
Book2_Prop12,20260722-134822-01fa8c96,17.52,ok
Book3_Prop06,20260722-114914-87a30db6,10.57,ok
Book3_Prop06,20260722-124136-b18981f0,6.99,ok
Book3_Prop06,20260722-133821-5636700d,6.82,ok
Book3_Prop11,20260722-114914-7c3bf53a,17.02,ok
Book3_Prop11,20260722-135250-1a554c88,9.36,ok
Book3_Prop11,20260722-150227-77754a03,12.19,ok
Book3_Prop25,20260722-114914-3fbefacb,37.21,ok
Book3_Prop25,20260722-163637-8fc9b0ac,18.27,ok
Book3_Prop25,20260722-190620-e45f8b26,23.70,ok
Book3_Prop36,20260722-114914-f7c81e6c,56.56,ok
Book3_Prop36,20260722-152107-8c876bd1,27.31,ok
Book3_Prop36,20260722-191223-95f95271,28.95,ok
