label,run_id,wall_s,status
Book1_Prop03,20260721-221925-17295e87,7.74,ok
Book1_Prop03,20260721-231303-567ea705,6.73,ok
Book1_Prop03,20260721-234406-c5a37b64,6.53,ok
Book1_Prop06,20260721-231618-a7a67122,8.77,ok
Book1_Prop06,20260722-003012-c0626395,8.99,ok
Book1_Prop06,20260722-011540-c975f507,17.16,ok
Book1_Prop12,20260721-231618-8465ed69,11.71,ok
Book1_Prop12,20260722-001344-21eea484,11.86,ok
Book1_Prop12,20260722-005123-b71b91c5,12.75,ok
Book1_Prop18,20260721-231618-32b7f9f6,9.64,ok
Book1_Prop18,20260722-002512-978a1f0d,9.00,ok
Book1_Prop18,20260722-005125-3d9bb45a,7.93,ok
Book1_Prop20,20260720-133309-0d986ee2,16.15,ok
Book1_Prop20,20260720-141502-9d5733b4,13.97,ok
Book1_Prop20,20260720-150928-aabdd8cb,25.56,ok
Book1_Prop27,20260721-231618-37a03924,10.21,ok
Book1_Prop27,20260722-000926-8b4456b3,12.98,ok
Book1_Prop27,20260722-005050-abe401f0,7.88,ok
Book1_Prop30,20260720-175026-82c96962,10.72,ok
Book1_Prop30,20260720-183241-470b9f31,15.34,ok
Book1_Prop30,20260720-195658-7f71e75a,10.73,ok
Book1_Prop36,20260720-175026-76138fa1,13.43,ok
Book1_Prop36,20260720-191808-2f65ff60,12.60,ok
Book1_Prop36,20260722-111741-2c7a7384,14.49,ok
Book1_Prop45,20260720-175026-5753a172,17.95,ok
Book1_Prop45,20260722-111634-3f005a60,19.14,ok
Book1_Prop45,20260722-141619-3d4c8788,16.75,ok
Book2_Prop03,20260722-114628-abe95ce0,11.79,ok
Book2_Prop03,20260722-140109-681d4b84,9.95,ok
Book2_Prop03,20260722-151424-0f5e3574,12.83,ok
Book2_Prop12,20260722-114628-9a040e08,10.32,ok
Book2_Prop12,20260722-124334-c0449664,36.41,ok
Book2_Prop12,20260722-134822-01fa8c96,12.01,ok
Book3_Prop06,20260722-114914-87a30db6,6.73,ok
Book3_Prop06,20260722-124136-b18981f0,7.08,ok
Book3_Prop06,20260722-133821-5636700d,8.55,ok
Book3_Prop11,20260722-114914-7c3bf53a,12.15,ok
Book3_Prop11,20260722-135250-1a554c88,13.78,ok
Book3_Prop11,20260722-150227-77754a03,9.17,ok
Book3_Prop25,20260722-114914-3fbefacb,30.11,ok
Book3_Prop25,20260722-163637-8fc9b0ac,25.21,ok
Book3_Prop25,20260722-190620-e45f8b26,19.16,ok
Book3_Prop36,20260722-114914-f7c81e6c,20.28,ok
Book3_Prop36,20260722-152107-8c876bd1,29.90,ok
Book3_Prop36,20260722-191223-95f95271,26.97,ok
